电影名称@电影类型 
上帝保佑美国@喜剧，动作，犯罪 
古惑仔之人在江湖@动作 
希特勒回来了@喜剧、历史 
史蒂夫·乔布斯@ 
加勒比海盗：惊涛怪浪@动作，奇幻，冒险 
人狗奇缘@剧情 
人狗奇缘@剧情 
夏天的尾巴@青春、校园、爱情 
绑架课@动画、短片、家庭、科幻 
魔幻厨房@爱情，喜剧 
战国@ 
女性瘾者：第二部@剧情 悬疑 情色 
爱丽丝梦游仙境2：镜中奇遇记@家庭、奇幻、冒险 
极速蜗牛@喜剧 
鸣梁海战@动作，剧情，战争 
绝世宝贝@喜剧 
饥饿游戏@剧情，惊险 
老妇人与死神@剧情、喜剧、短片 
逃狱三王@喜剧 
国际市场@剧情 
我与梦露的一周@剧情 
不能没有你@剧情；家庭 
不能没有你@剧情；家庭 
美人鱼@喜剧、爱情、科幻 
那年夏天，宁静的海@ 
超脑48小时@剧情、动作、犯罪 
悲惨世界@剧情 
悲惨世界@剧情 
盲证@悬疑/惊悚 
人间中毒@爱情、剧情 
触不可及@爱情 
迫在眉梢@动作、剧情、家庭、犯罪 
会计刺客@剧情、动作、犯罪、惊悚 
叶问3@武术、动作、剧情 
埃及王子@动画 
突袭2：暴徒@动作 犯罪 惊悚 
茜茜公主2@爱情 / 剧情 / 历史 
夜访吸血鬼@奇幻，恐怖，惊悚，剧情，爱情 
斗士@剧情 
恋爱前规则@爱情，喜剧，剧情 
明日如歌@青春、爱情、音乐 
007之明日帝国@动作、惊悚、冒险 
夺宝奇兵2之魔宫传奇@冒险/动作/惊险/剧情 
逆时营救@科幻、动作 
结婚礼服@家庭，剧情 
弗兰奇@ 
饭局也疯狂@剧情 
饭局也疯狂@剧情 
布鲁斯·韦恩@ 
失恋33天@爱情 
爱在日落黄昏时@剧情、爱情 
捕蝇纸@喜剧 
愤怒的公牛@传记、剧情、动作 
憨豆先生的大灾难@喜剧、家庭 
人的价值@爱情 
功夫@喜剧、动作 
被嫌弃的松子的一生@剧情、歌舞 
一声叹息@爱情，家庭，剧情 
如梦@剧情 
地雷区@剧情、历史、战争 
嫌疑人X的献身@悬疑，剧情 
阿呆与阿瓜@喜剧 
坏未来@剧情，爱情，科幻 
青海可可西里国家级自然保护区@ 
名侦探柯南：第11个前锋@动画电影、推理动画 
弗里达·卡罗@ 
蒂莫西的奇异生活@文艺，科幻 
终结者3@动作、科幻 
食人鱼3D@惊悚 
孩子们都很好@剧情 
死神的精度@奇幻 
林肯律师@剧情，犯罪，悬疑 
名侦探柯南：纯黑的噩梦@ 
行运超人@喜剧；爱情 
黑色大丽花@ 
叶问@ 
极度深寒@恐怖，灾难，动作 
吸血鬼猎人林肯@惊悚，恐怖，奇幻 
小萝莉的猴神大叔@剧情，音乐剧 
吸血鬼猎人林肯@惊悚，恐怖，奇幻 
星之声@动画、剧情、爱情 
宋家皇朝@剧情、爱情、历史 
菊豆@剧情 
X战警：背水一战@动作，科幻，冒险 
消失的松果@动画 
记忆裂痕@动作，科幻，惊悚 
第七封印@剧情、奇幻 
新龙门客栈@动作 
新龙门客栈@动作 
暮光之城：破晓（下）@剧情、奇幻、爱情 
绿野仙踪@ 
风云2@动作、剧情 
海上花@剧情 
“吃吃”的爱@喜剧、奇幻、爱情 
刀锋战士3：三位一体@动作、冒险、恐怖、奇幻 
面子@ 
死神的十字路口@恐怖 
巨人捕手杰克@冒险 
疾速特攻@动作、犯罪、惊悚 
疾速特攻@动作、犯罪、惊悚 
来自虞美人之坡@动画，剧情 
狂蟒之灾@动作 
狂蟒之灾@动作 
粉红豹@ 
回归@ 
101忠狗@ 
爱情麻辣烫之情定终身@爱情 
法老与众神@史诗，剧情，动作，冒险 
危情十日@剧情 心理惊悚 
深空失忆@科幻、惊悚、恐怖 
未来战警@惊悚，动作，科幻 
新扎师妹@喜剧，爱情，动作 
我是传奇@动作 
驯龙高手番外篇：龙的礼物@动画 
红气球@乐团 
暴疯语@惊悚，动作 
无处可逃@动作，惊悚 
孙子从美国来@剧情/家庭/儿童 
香蕉@ 
超级8@科幻 
天际浩劫@剧情 
互换身体@喜剧 
推手@剧情 
绝种好男人@喜剧 
诺丁山@爱情 
老师的恩惠@剧情 
警察故事续集@犯罪、警匪、喜剧、剧情、动作 
破绽@惊悚、法庭、悬疑 
小兵张嘎@抗日，谍战，军事，农村剧 
孤独的幸存者@剧情、战争、传记 
反贪风暴@动作，犯罪 
猎头游戏@惊悚、动作 
新世纪福音战士剧场版：Air/真心为你@动画电影 
单身男子@剧情 
生吃@剧情、惊悚、恐怖 
第六日@动作 
美国队长2@动作，冒险，科幻 
硬汉2：奉陪到底@动作 
铁拳男人@剧情，爱情，动作 
惊声尖叫@惊悚，悬疑，犯罪，恐怖 
机械战警@动作、科幻、犯罪、惊悚 
商海通牒@惊悚，剧情 
商海通牒@惊悚，剧情 
濑户内海@ 
百元之恋@剧情 
歪小子斯科特@动作、爱情、动作 
007之黑日危机@惊悚、动作 
德克萨斯的巴黎@剧情 
大鱼海棠@动画，奇幻，神话 
父子@ 
香港制造@剧情、犯罪 
战栗空间@惊悚、悬疑、犯罪 
老笠@喜剧 荒诞 
离开雷锋的日子@剧情片 
佐罗传奇@动作/冒险/西部 
美国X档案@剧情、犯罪 
怪兽屋@悬疑、动画、奇幻 
狼牙@动作；时装；爱情 
神战：权力之眼@冒险、奇幻、动作 
神奇燕尾服@动作，科幻，喜剧，惊悚 
饮食男女@爱情 
第一滴血4@动作、惊悚 
姐弟恋@ 
地雷战@剧情、抗日战争 
美丽的大脚@剧情 
黑金@剧情 
朱莉与朱莉娅@剧情 
终结者2018@动作，剧情，科幻 
出水芙蓉@喜剧、爱情、歌舞 
超级学校霸王@剧情、动作、爱情 
巴黎最后的探戈@爱情、剧情 
请叫我英雄@喜剧 剧情 商战 
沉默的羔羊@惊悚 
九品芝麻官之白面包青天@喜剧 
九品芝麻官之白面包青天@喜剧 
永远的三丁目的夕阳@剧情 
致命急件@动作、剧情 
胜者为王@犯罪 
哈利·波特与死亡圣器（下）@冒险，魔幻 
摇滚帮@动作、喜剧、犯罪 
恋战冲绳@爱情 
泰山归来：险战丛林@动作、冒险 
航海王之黄金城@动画、动作 
吐司@ 
不求上进的玉子@喜剧 
钢铁侠3@动作、科幻、冒险 
猫狗大战@喜剧 
最终兵器：弓@历史/古装/动作 
热血青春@爱情，喜剧 
星球大战@科幻，战争 
乐高蝙蝠侠大电影@动画、动作、喜剧 
金刚不坏@ 
地铁惊魂@惊悚 
再说一次我爱你@剧情 
一念天堂@喜剧 
八美图@悬疑、伦理、剧情 
天佑鲍比@剧情 / 同性 / 传记 
雏菊@ 
进击的巨人 ATTACK ON TITAN@科幻、动漫改编 
进击的巨人 ATTACK ON TITAN@科幻、动漫改编 
王的男人@古装/剧情 
名侦探柯南：绝海的侦探@推理，悬疑，剧情 
艾利之书@动作 
肚子痛的核电站君@动画，短片 
食品公司@纪录片 
一球成名@体育、励志 
福音战士新剧场版：Q@动作、剧情、动作 
死亡实验@ 惊悚 / 剧情/心理 
六福喜事@喜剧 
山楂树之恋@爱情，纯爱，文艺 
小男孩@核武器 
A计划@喜剧/警匪 
涉外大饭店@剧情 
谋杀绿脚趾@悬疑、犯罪、喜剧 
座头市@动作 
新上海滩@民国，枪战，商战，爱情 
末日危途@剧情，惊悚，冒险 
公主复仇记@剧情 
东方三侠@动作、奇幻、爱情 
东方三侠@动作、奇幻、爱情 
墨水心@冒险、家庭、幻想 
刮痧@ 
特种部队：全面反击@动作 
二十四城记@剧情 
大逃杀2：镇魂歌@惊悚、血腥 
临时同居@爱情，喜剧 
自梳@剧情 
爱情的牙齿@爱情，女性 
夺命深渊@惊悚，动作，冒险 
赴汤蹈火@犯罪、剧情 
双子神偷@动作 
双子神偷@动作 
杜拉拉追婚记@爱情 
异度空间@悬疑、恐怖、爱情 
我的野蛮女老师@喜剧 
铁线虫入侵@剧情/惊悚 
精英部队@动作、犯罪、剧情、惊怵 
听说桐岛要退部@剧情 
警察故事3超级警察@动作/犯罪 
幼儿园@ 
激战运钞车@动作 
别惹蚂蚁@剧情，动画，喜剧 
此间的少年@ 
发条橙@惊悚 犯罪 科幻 剧情 
王牌对王牌@大型原创室内竞技真人秀 
我妻子的一切@喜剧 
蓝血人@科幻片 
深海浩劫@动作、剧情、惊悚 
绿芥刑警@动作 
大电影2.0：两个傻瓜的荒唐事@喜剧 
暗战2@动作，犯罪 
八部半@剧情 
钢琴小神童@音乐、情感 
冥界警局@动作，喜剧，犯罪，奇幻 
盲山@剧情 
谍影重重@动作，悬疑，惊悚 
谍影重重@动作，悬疑，惊悚 
沉静如海@剧情 爱情 战争 
OFFICE有鬼@恐怖 
不可饶恕@惊悚 
周渔的火车@爱情 / 剧情 
耶稣受难记@传记，剧情，宗教 
安娜·卡列尼娜@ 
香奈儿@ 
飞鹰艾迪@剧情、传记、喜剧 
赤焰战场@动作/喜剧/犯罪 
与时尚同居@励志，喜剧 
杀死比尔@动作 
人鱼传说@喜剧、爱情、奇幻 
嗜血破晓@科幻/恐怖/动作 
曼哈顿灰姑娘@ 
怪物之子@异世界 
声之形@社会，校园 
野草莓@ 
火星人玩转地球@喜剧、动作、科幻、惊悚、奇幻 
雄狮@剧情片 
诸神之战@动作，冒险，奇幻 
灵魂战车@冒险，动作，奇幻，爱情，惊悚 
极恶非道@犯罪/剧情 
桃姐@文艺 
功夫小蝇@爱情/科幻 
心急吃不了热豆腐@喜剧 
的士速递3@动作，喜剧 
皮囊之下@科幻，惊悚，剧情 
神探飞机头@动作、惊悚、悬疑、喜剧 
街角洋果子店@剧情，爱情剧 
奋斗@爱情、励志、喜剧 
来自地狱@传记、惊悚、恐怖 
天将雄师@动作，古装，剧情，历史 
骗中骗@剧情，喜剧，犯罪 
300勇士：帝国崛起@剧情，动作，历史，战争 
教父@剧情，惊悚，犯罪 
教父@剧情，惊悚，犯罪 
总统杀局@剧情 
变节：潜罪犯@犯罪 动作 剧情 
龙珠@热血/动作/科幻/喜剧/冒险 
地下@剧情 
熊猫大侠@喜剧，动作，古装 
天将雄师@动作，古装，剧情，历史 
黑暗侵袭2@恐怖，惊悚 
鱼缸@ 
见鬼@剧情恐怖 惊悚 
第一滴血2@动作/惊悚/冒险 
孤儿怨@剧情 
匹诺曹@青春，职场，浪漫，爱情 
杰出公民@剧情 
绝地战警@动作/喜剧/犯罪 
野战排@动作、战争 
格林兄弟@ 
星球大战前传1：幽灵的威胁@动作、冒险、奇幻 
迫降航班@剧情、犯罪丶灾难 
坏蛋必须死@喜剧，悬疑，旅行，爱情 
神勇奶爸@动作、喜剧 
神勇奶爸@动作、喜剧 
快餐车@喜剧，动作 
人工智能@ 
不良教育@ 
成事在人@剧情、运动、传记 
B+侦探@惊悚、悬疑  
范海辛@动作 
11:14@悬疑/犯罪 
没事偷着乐@剧情 
玛戈王后@ 
卧虎藏龙：青冥宝剑@武侠、动作、剧情 
哈利·波特系列的50个精彩瞬间@纪录片 
小门神@剧情 
公主日记@爱情，喜剧 
公主日记@爱情，喜剧 
雾都孤儿@ 
新抢钱夫妻@犯罪、喜剧 
致青春·原来你还在这里@爱情、青春、剧情 
的士速递4@动作，喜剧 
吸血鬼猎人D@惊悚 
蝎子王@动作 
MIM-104防空导弹@ 
太阳之泪@动作 
灵动：鬼影实录@惊悚、悬疑、恐怖 
玩命直播@动作、青春、冒险 
玩具总动员3@动画 
近距离恋爱@爱情 
花花型警@动作，警匪，兄弟情，爱情 
九降风@青春；校园 
霍乱时期的爱情@ 
带我去远方@剧情 
拜见岳父大人2@喜剧 
明明@ 
魔力月光@喜剧，爱情 
榴莲飘飘@剧情 
暖春@剧情、家庭、亲情 
长城@ 
毁灭之路@惊悚、剧情、冒险 
美国田园下的罪恶@剧情、犯罪 
布达佩斯之恋@剧情、爱情 
雏妓@伦理、爱情 
杀手阿一@动作、悬疑、恐怖、惊悚 
失乐园@ 
教室别恋@剧情 
季春奶奶@亲情 
爱德华大夫@爱情，剧情，惊悚 
我不是王毛@喜剧、战争 
危机13小时@动作，剧情，惊悚，战争 
港囧@喜剧/爱情 
忍者神龟@动作/冒险/动画/喜剧 
小蝌蚪找妈妈@水墨动画、美术片 
甜心先生@剧情 
斯隆女士@惊悚、剧情 
回家的路@犯罪、悬疑、剧情 
威廉·莫里斯@ 
一夜风流@喜剧 
海神号@动作 
父辈的旗帜@剧情、战争、历史 
东宫西宫@剧情 
丛林大反攻@动画 
美国队长3：内战@动作、科幻、冒险 
极限特工：终极回归@动作、冒险、惊悚 
美国队长3：内战@动作、科幻、冒险 
离开拉斯维加斯@爱情 
冲锋车@动作 
一触即发@近代传奇，军事，谍战，悬疑 
狂暴飞车@动作，犯罪,炫酷 
恋爱中的城市@爱情 
光棍儿@剧情 
广岛之恋@ 
十分钟年华老去：小号篇@剧情 
龙虎少年队@喜剧 
我的早更女友@爱情，喜剧 
蓝色情人节@剧情，爱情 
阿飞正传@剧情、文艺、青春 
亚瑟王@ 
夏天协奏曲@剧情，爱情 
干柴烈火@喜剧 
家园防线@动作 剧情 犯罪 
家园防线@动作 剧情 犯罪 
丑陋的真相@喜剧 
可爱的你@剧情 
天地大冲撞@剧情，科幻，动作 
幸福额度@爱情 
女人四十@剧情，喜剧，家庭 
复仇者联盟2：奥创纪元@科幻，动作，冒险 
特工争风@喜剧 
帕克@动作/惊悚/犯罪 
神经侠侣@动作 
九@ 
鬼来电@惊悚、恐怖、悬疑 
惊声尖笑4@恐怖，惊悚，喜剧 
古宅心慌慌@悬疑、恐怖、喜剧 
特别响，非常近@剧情 
倩女幽魂@奇幻 
大战外星人@动画 
玉观音@ 
玉观音@ 
将爱情进行到底@爱情 剧情 
惊声尖笑2@喜剧，恐怖，惊悚 
yes or no2@青春偶像 
神枪手@动作 
东京塔@ 
舞出我人生3@爱情 
恋爱恐慌症@爱情，偶像 
游龙戏凤@爱情 
布鲁克斯先生@惊悚，犯罪，悬疑，剧情 
古惑仔情义篇之洪兴十三妹@动作 
决斗犹马镇@犯罪，剧情，西部 
现在，很想见你@爱情、奇幻、剧情 
智取威虎山3D@战争，动作，历史，冒险 
蜂鸟特攻@剧情 / 动作 / 惊悚 / 犯罪 
河东狮吼Ⅱ@喜剧，爱情， 
牢里牢外@动作、剧情、惊悚 
牢里牢外@动作、剧情、惊悚 
唐伯虎点秋香2之四大才子@喜剧、古装 
三人行@警匪、动作、犯罪、悬疑 
天水围的夜与雾@剧情 
爱德华·斯诺登@ 
浪客剑心：京都大火篇@动作/古装 
幽灵船@ 
亲爱的朋友@剧情 
亲爱的朋友@剧情 
曹冲称象@ 
跟踪@悬疑/剧情/都市/警匪 
阿拉伯的劳伦斯@剧情，传记，历史，战争，冒险 
最完美的离婚@家庭，爱情，剧情，喜剧 
黄飞鸿之三：狮王争霸@动作、武侠 
茜茜公主3@爱情 / 剧情 / 历史 
追捕野蛮人@剧情、喜剧、冒险 
左右@ 
恐龙当家@动画、喜剧、冒险 
一路惊喜@喜剧/爱情/家庭 
长江7号@家庭，喜剧，科幻，剧情，奇幻 
精武家庭@现代、动作、警匪、都市 
精武家庭@现代、动作、警匪、都市 
曼谷杀手@动作/惊悚/剧情 
十二怒汉@剧情、悬疑 
窈窕绅士@喜剧，爱情 
十二怒汉@剧情、悬疑 
失物招领@话剧 
中国城@黑帮、动作、剧情 
魁拔Ⅱ大战元泱界@动画 
欲望号街车@剧情 
情人结@爱情，剧情，文艺 
大侦探福尔摩斯@动作，惊悚，冒险，悬疑，犯罪 
猎杀U-571@动作 
在路上@剧情 
台北晚9朝5@爱情/剧情 
名侦探柯南：世纪末的魔术师@动画电影 
黑处有什么@剧情、悬疑、犯罪 
好雨时节@爱情，剧情 
金枝玉叶2@喜剧 
故园风雨后@剧情 
难以忽视的真相@纪录片 
黄飞鸿之铁鸡斗蜈蚣@功夫/古装/武侠  
入侵脑细胞@剧情 
风之谷@动画 
天才捕手@剧情 
待业青年@ 
极品飞车@ 
爱的成人式@剧情/爱情/悬疑 
太空一号@动作、科幻、惊悚 
男和女@爱情、浪漫 
厉鬼将映@恐怖、惊悚，刺激 
局内人@剧情/惊悚/犯罪 
堕入地狱@恐怖、惊悚 
唐顿庄园：2012圣诞特别篇@剧情 
撕裂的末日@科幻 
头脑特工队@动画、喜剧、家庭 
家庭作业@校园、爱情、青春、文艺 
名侦探柯南：计时引爆摩天楼@动画电影（悬疑，推理） 
家庭作业@校园、爱情、青春、文艺 
开心鬼系列@喜剧 
车手@剧情 
反贪风暴2@动作、剧情、悬疑 
绝密飞行@动作，惊悚，科幻，冒险 
贝奥武夫@动作、奇幻、冒险 
安娜与武林@动作 
亚当斯一家@喜剧/家庭/奇幻/恐怖 
谍影重重3@动作，悬疑， 惊悚，冒险 
呆佬贺寿@家庭，喜剧 
看上去很美@剧情 
功夫梦@动作 
一夜大肚@爱情、喜剧、剧情 
一夜大肚@爱情、喜剧、剧情 
美国派（番外篇）5：裸奔@喜剧 
考死@悬疑 / 惊悚 / 恐怖 / 校园 
鬼马狂想曲@喜剧、科幻 
天地英雄@动作，奇幻，剧情 
虐童疑云@剧情，悬疑 
黑侠@动作 
新精武门1991@动作，喜剧，剧情 
敦刻尔克@战争、剧情、悬疑、惊悚 
27套礼服@爱情，喜剧 
特警判官@科幻、动作 
回忆三部曲@动画、奇幻、惊悚、科幻 
落跑新娘@爱情/喜剧 
小杰克的攻击@动画 / 短片 / 家庭 / 冒险。恐怖 
史蒂夫·乔布斯@ 
蝙蝠侠归来@动作、犯罪、惊悚 
东京家族@剧情/家庭 
迷幻公园@剧情 
祖与占@ 
云中漫步@爱情，剧情，战争 
西游伏妖篇@古装、魔幻、动作、喜剧 
穿越大吉岭@剧情、冒险、喜剧 
愚人节@ 
极限挑战@悬疑、喜剧 
鼠胆龙威@剧情、喜剧、动作 
十万个冷笑话2@动画、喜剧 
故事的故事@历史/奇幻 
江湖告急@喜剧/犯罪 
扶桑花女孩@励志 
誓约@爱情 
非诚勿扰@爱情 
一座城池@ 
西西里的美丽传说@剧情，爱情，战争 
哈利·波特与密室@ 
追影@武侠，动作，爱情，喜剧 
哆啦A梦：新·大雄的日本诞生@动画电影（科幻，冒险） 
冰河世纪：猛犸象的圣诞@喜剧 / 动画 / 短片 
昨天@ 
极速天使@剧情，刺激 
西伯利亚理发师@喜剧、爱情、剧情 
费城故事@剧情 
童年往事@ 
少女小渔@爱情 
露西亚的情人@爱情 
美国往事@剧情，犯罪 
麻将@ 
特警新人类@动作 
生化危机：诅咒@动作，科幻，动画，恐怖 
简·爱@ 
率性而活@喜剧 
唯爱永生@剧情 
黄金罗盘@动作，奇幻，冒险 
外出@剧情，爱情，伦理 
